,Model,Metric
0,KNN,0.9258713369169412
1,KNN,0.9237905323391712
2,KNN,0.9291659441650771
3,KNN,0.9256979365354604
4,KNN,0.9263851556403364
5,KNN,0.9290730945981097
6,Decision Tree,0.943384775446506
7,Decision Tree,0.9441650771631698
8,Decision Tree,0.9463325819316802
9,Decision Tree,0.9408704699150338
10,Decision Tree,0.9432064510534987
11,Decision Tree,0.9435532818867597
12,Gradient Boosting,0.9461591815501994
13,Gradient Boosting,0.9388763655280041
14,Gradient Boosting,0.9448586786890931
15,Gradient Boosting,0.9418241720131785
16,Gradient Boosting,0.9418191277204544
17,Gradient Boosting,0.9450273129281193
18,Random Forest,0.9618519160742154
19,Random Forest,0.9569967053927518
20,Random Forest,0.9603780128316283
21,Random Forest,0.9609849141668112
22,Random Forest,0.9612416543830746
23,Random Forest,0.9612416543830746
