,Model,Metric
0,KNN,0.9300276067105543
1,KNN,0.9356551284773837
2,KNN,0.9291706488265902
3,KNN,0.929595412551768
4,KNN,0.93320590421578
5,KNN,0.9283211213762345
6,Decision Tree,0.9383096198768316
7,Decision Tree,0.9372478233170525
8,Decision Tree,0.9397897419560369
9,Decision Tree,0.937984496124031
10,Decision Tree,0.9409578422002761
11,Decision Tree,0.9396835510247424
12,Gradient Boosting,0.9405393926523679
13,Gradient Boosting,0.9463792737311532
14,Gradient Boosting,0.9437188064139322
15,Gradient Boosting,0.9388340235743867
16,Gradient Boosting,0.9406392694063926
17,Gradient Boosting,0.9444621429329936
18,Random Forest,0.9618815035039286
19,Random Forest,0.9619876831599066
20,Random Forest,0.9592226823829245
21,Random Forest,0.9573112456196241
22,Random Forest,0.959328873314219
23,Random Forest,0.9576298184135075
